date,ascending,daily in poland,percentage,dolno?l?skie,przyrost w województwie,Voivodenship
04-Mar,1,1,0,0,0,dolno?l?skie
05-Mar,1,0,0,0,0,dolno?l?skie
06-Mar,5,4,400,1,1,dolno?l?skie
07-Mar,6,1,20,0,1,dolno?l?skie
08-Mar,11,5,83,1,2,dolno?l?skie
09-Mar,17,6,55,1,3,dolno?l?skie
10-Mar,22,5,29,1,4,dolno?l?skie
11-Mar,31,9,41,0,4,dolno?l?skie
12-Mar,51,20,65,3,7,dolno?l?skie
13-Mar,68,17,33,1,8,dolno?l?skie
14-Mar,104,36,53,5,13,dolno?l?skie
15-Mar,125,21,20,2,15,dolno?l?skie
16-Mar,177,52,42,12,27,dolno?l?skie
17-Mar,238,61,34,11,38,dolno?l?skie
18-Mar,287,49,21,2,40,dolno?l?skie
19-Mar,355,68,24,13,53,dolno?l?skie
20-Mar,425,70,20,5,58,dolno?l?skie
21-Mar,536,111,26,8,66,dolno?l?skie
22-Mar,634,98,18,13,79,dolno?l?skie
23-Mar,749,115,18,22,101,dolno?l?skie
24-Mar,901,152,20,33,134,dolno?l?skie
25-Mar,1051,150,17,16,150,dolno?l?skie
26-Mar,1221,170,16,15,165,dolno?l?skie
27-Mar,1389,168,14,28,193,dolno?l?skie
28-Mar,1638,249,18,21,214,dolno?l?skie
29-Mar,1862,224,14,20,234,dolno?l?skie
30-Mar,2055,193,10,24,258,dolno?l?skie
31-Mar,2311,256,12,16,274,dolno?l?skie
01-Apr,2554,243,11,52,326,dolno?l?skie
02-Apr,2946,392,15,12,338,dolno?l?skie
03-Apr,3383,437,15,62,400,dolno?l?skie
04-Apr,3627,244,7,7,407,dolno?l?skie
05-Apr,4102,475,13,61,468,dolno?l?skie
06-Apr,4413,311,8,20,488,dolno?l?skie
07-Apr,4848,435,10,39,527,dolno?l?skie
08-Apr,5205,357,7,12,539,dolno?l?skie
09-Apr,5575,370,7,29,568,dolno?l?skie
10-Apr,5955,380,7,69,637,dolno?l?skie
11-Apr,6356,401,7,23,660,dolno?l?skie
12-Apr,6674,318,5,37,697,dolno?l?skie
13-Apr,6934,260,4,12,709,dolno?l?skie
14-Apr,7202,268,4,14,723,dolno?l?skie
15-Apr,7582,380,5,41,764,dolno?l?skie
16-Apr,7918,336,4,55,819,dolno?l?skie
17-Apr,8379,461,6,74,893,dolno?l?skie
18-Apr,8742,363,4,56,949,dolno?l?skie
19-Apr,9287,545,6,95,1044,dolno?l?skie
20-Apr,9593,306,3,33,1077,dolno?l?skie
21-Apr,9856,263,3,41,1118,dolno?l?skie
22-Apr,10 169,313,3,26,1144,dolno?l?skie
23-Apr,10 511,342,3,68,1212,dolno?l?skie
24-Apr,10 892,381,4,23,1235,dolno?l?skie
25-Apr,11 273,381,3,43,1278,dolno?l?skie
26-Apr,11 617,344,3,63,1341,dolno?l?skie
27-Apr,11 902,285,2,71,1412,dolno?l?skie
28-Apr,12 218,316,3,49,1461,dolno?l?skie
29-Apr,12 640,422,3,59,1520,dolno?l?skie
30-Apr,12 877,300,2,43,1563,dolno?l?skie
01-May,13 105,228,2,17,1580,dolno?l?skie
02-May,13 375,270,2,40,1620,dolno?l?skie
03-May,13 693,318,2,25,1645,dolno?l?skie
04-May,14 006,313,2,78,1723,dolno?l?skie
05-May,14 431,425,3,46,1769,dolno?l?skie
06-May,14 740,311,2,20,1789,dolno?l?skie
07-May,15 047,324,2,36,1825,dolno?l?skie
08-May,15 366,340,2,45,1870,dolno?l?skie
09-May,15 651,288,2,33,1903,dolno?l?skie
10-May,15 996,345,2,99,2002,dolno?l?skie
11-May,16 326,330,2,22,2024,dolno?l?skie
12-May,16 921,595,4,32,2056,dolno?l?skie
13-May,17 204,322,2,44,2100,dolno?l?skie
14-May,17 615,411,2,25,2125,dolno?l?skie
15-May,18 016,401,2,16,2141,dolno?l?skie
16-May,18 257,241,1,19,2160,dolno?l?skie
17-May,18 529,272,1,6,2166,dolno?l?skie
18-May,18 885,356,2,60,2226,dolno?l?skie
19-May,19 268,383,2,31,2257,dolno?l?skie
20-May,19 739,471,2,19,2276,dolno?l?skie
21-May,20 143,405,2,19,2295,dolno?l?skie
22-May,20 619,476,2,71,2366,dolno?l?skie
23-May,20 931,316,2,33,2399,dolno?l?skie
24-May,21 326,395,2,19,2418,dolno?l?skie
25-May,21 631,341,2,37,2455,dolno?l?skie
26-May,22 074,445,2,16,2471,dolno?l?skie
27-May,22 473,399,2,41,2512,dolno?l?skie
28-May,22 825,352,2,18,2530,dolno?l?skie
29-May,23 158,333,1,26,2556,dolno?l?skie
30-May,23 571,416,2,25,2581,dolno?l?skie
31-May,23 786,219,0.9,13,2594,dolno?l?skie
01-Jun,24 165,380,1.6,36,2630,dolno?l?skie
02-Jun,24 395,236,1,9,2639,dolno?l?skie
03-Jun,24 687,292,1.2,10,2649,dolno?l?skie
04-Jun,25 048,361,1.5,11,2660,dolno?l?skie
05-Jun,25 410,362,1.4,20,2680,dolno?l?skie
06-Jun,25 986,576,2.3,20,2700,dolno?l?skie
07-Jun,26 561,575,2.2,8,2708,dolno?l?skie
08-Jun,27 160,599,2.3,16,2724,dolno?l?skie
